rxn02485, Metabolism of cofactors and vitamins
rxn01361, Nucleotide metabolism
rxn07476, Carbohydrate metabolism
rxn30161, Metabolism of cofactors and vitamins
rxn05114, Nucleotide metabolism
rxn01142, Amino acid metabolism
rxn38123,
rxn38909, Amino acid metabolism
rxn30397, Amino acid metabolism
rxn38910, Amino acid metabolism
rxn30398, Amino acid metabolism
rxn38029, Amino acid metabolism
rxn29946,
rxn06316, Carbohydrate metabolism
rxn34305,
rxn35234, Carbohydrate metabolism
rxn33490, Energy metabolism
rxn03372,
rxn27688, Nucleotide metabolism
rxn23129,
rxn06718, Glycan biosynthesis and metabolism
rxn38030,
rxn06140, Lipid metabolism
rxn14402,
rxn05818, Nucleotide metabolism
rxn05816, Nucleotide metabolism
rxn05819, Nucleotide metabolism
rxn05817, Nucleotide metabolism
rxn06045, Lipid metabolism
rxn02518, Nucleotide metabolism
rxn01962, Nucleotide metabolism
rxn33568, Metabolism of cofactors and vitamins
rxn32974, Nucleotide metabolism
rxn32148, Nucleotide metabolism
rxn32257, Nucleotide metabolism
rxn30860, Metabolism of cofactors and vitamins
rxn33762, Nucleotide metabolism
rxn02400, Metabolism of cofactors and vitamins
rxn31973, Nucleotide metabolism
rxn29952, Nucleotide metabolism
rxn31059, Nucleotide metabolism
rxn32982, Nucleotide metabolism
rxn30907, Nucleotide metabolism
rxn29955, Nucleotide metabolism
rxn30908, Nucleotide metabolism
rxn32378, Nucleotide metabolism
rxn33474, Nucleotide metabolism
rxn29956, Nucleotide metabolism
rxn31426, Carbohydrate metabolism
rxn28107,
rxn34298, Metabolism of other amino acids
rxn34220,
rxn33486,
rxn38399, Lipid metabolism
rxn03903, Glycan biosynthesis and metabolism
rxn03904, Glycan biosynthesis and metabolism
rxn32421, Carbohydrate metabolism
rxn32194, Amino acid metabolism
rxn30401,
rxn02011, Amino acid metabolism
rxn38359, Carbohydrate metabolism
rxn33404,
rxn34232,
rxn16219,
rxn16223,
rxn16220,
rxn16221,
rxn33166, Metabolism of cofactors and vitamins
rxn31257, Lipid metabolism
rxn38489, Lipid metabolism
rxn31255, Lipid metabolism
rxn30175, Lipid metabolism
rxn31254, Lipid metabolism
rxn38492, Lipid metabolism
rxn07573, Lipid metabolism
rxn31256, Lipid metabolism
rxn38484, Lipid metabolism
rxn27889, Metabolism of other amino acids
rxn27887,
rxn31423,
